Mapped Beach,Level of Interaction with Disaster,Frequency of Usage (max) (in month),Usage Duration,Number of LIK Combination,Number of Experience with Disaster,Age,Fishing Experience,Level of Interaction with Disaster Status,Frequency of Usage Status,Usage Duration Status,Number of LIK Combination Status,Number of Experience with Disaster Status,Overall Category
pantai depok,4.433333333333334,2.6271186440677967,12.516666666666667,1.1,1.5333333333333334,41.266666666666666,15.583333333333334,Safe,Unsafe,Unsafe,Unsafe,Safe,Unsafe
pantai lampuuk,3.8028169014084505,14.502347417840376,14.915492957746478,2.183098591549296,2.267605633802817,39.18075117370892,15.091549295774648,Safe,Safe,Unsafe,Safe,Safe,Safe
pantai lhoknga,1.272197962154294,6.275109170305677,17.983988355167394,2.091703056768559,2.7394468704512374,42.74235807860262,17.91848617176128,Unsafe,Safe,Safe,Safe,Safe,Safe
pantai samas,2.125,2.59375,4.96875,1.625,1.5,28.9375,6.34375,Safe,Unsafe,Unsafe,Safe,Unsafe,Unsafe
pantai ulee lheue,3.5940366972477062,4.446511627906977,19.75229357798165,1.5298165137614679,2.9220183486238533,48.288990825688074,21.442660550458715,Safe,Unsafe,Safe,Safe,Safe,Safe
